workpoint,pose,direction,kind,parameter,force_N,status,grip_only_force_N
mid105,neutral,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,neutral,handle_axis,ground_mu,0.3,58.26075185484082,OPTIMAL,
mid105,neutral,handle_axis,ground_mu,1.0,88.27655522700886,OPTIMAL,
mid105,neutral,handle_axis,arm_sim_cap_scale,0.1,24.69135802469151,OPTIMAL,
mid105,neutral,handle_axis,arm_sim_cap_scale,0.2,49.38271604938302,OPTIMAL,
mid105,neutral,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,neutral,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,neutral,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,neutral,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,neutral,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
mid105,neutral,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,roll+8,press_down,ground_mu,0.3,155.72027975799162,OPTIMAL,
mid105,roll+8,press_down,ground_mu,1.0,155.72027975799162,OPTIMAL,
mid105,roll+8,press_down,arm_sim_cap_scale,0.1,37.79729271130482,OPTIMAL,
mid105,roll+8,press_down,arm_sim_cap_scale,0.2,62.296910898068205,OPTIMAL,
mid105,roll+8,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
mid105,roll+8,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
mid105,roll+8,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
mid105,roll+8,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
mid105,roll+8,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
mid105,roll+8,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
mid105,roll+8,opening_normal_tangent,ground_mu,0.3,102.09028662059991,OPTIMAL,
mid105,roll+8,opening_normal_tangent,ground_mu,1.0,120.04402214029423,OPTIMAL,
mid105,roll+8,opening_normal_tangent,arm_sim_cap_scale,0.1,55.38226689129575,OPTIMAL,
mid105,roll+8,opening_normal_tangent,arm_sim_cap_scale,0.2,107.10578571180082,OPTIMAL,
mid105,roll+8,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,roll+8,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,roll+8,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,roll+8,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,roll+8,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
mid105,roll+8,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,roll+8,closing_normal_tangent,ground_mu,0.3,92.80173058078687,OPTIMAL,
mid105,roll+8,closing_normal_tangent,ground_mu,1.0,101.23387051024707,OPTIMAL,
mid105,roll+8,closing_normal_tangent,arm_sim_cap_scale,0.1,24.621829994540345,OPTIMAL,
mid105,roll+8,closing_normal_tangent,arm_sim_cap_scale,0.2,78.47189852862766,OPTIMAL,
mid105,roll+8,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,roll+8,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,roll+8,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,roll+8,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,roll+8,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
mid105,roll+8,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,roll+8,handle_axis,ground_mu,0.3,57.91656300570966,OPTIMAL,
mid105,roll+8,handle_axis,ground_mu,1.0,86.69788295856377,OPTIMAL,
mid105,roll+8,handle_axis,arm_sim_cap_scale,0.1,23.170265686844147,OPTIMAL,
mid105,roll+8,handle_axis,arm_sim_cap_scale,0.2,48.10427982310646,OPTIMAL,
mid105,roll+8,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,roll+8,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,roll+8,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,roll+8,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,roll+8,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
mid105,roll+8,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,roll-8,press_down,ground_mu,0.3,154.9631737862206,OPTIMAL,
mid105,roll-8,press_down,ground_mu,1.0,154.9631737862206,OPTIMAL,
mid105,roll-8,press_down,arm_sim_cap_scale,0.1,35.83536700180529,OPTIMAL,
mid105,roll-8,press_down,arm_sim_cap_scale,0.2,59.70874551740444,OPTIMAL,
mid105,roll-8,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
mid105,roll-8,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
mid105,roll-8,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
mid105,roll-8,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
mid105,roll-8,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
mid105,roll-8,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
mid105,roll-8,opening_normal_tangent,ground_mu,0.3,103.47577695714317,OPTIMAL,
mid105,roll-8,opening_normal_tangent,ground_mu,1.0,119.46037275191823,OPTIMAL,
mid105,roll-8,opening_normal_tangent,arm_sim_cap_scale,0.1,54.06302761886022,OPTIMAL,
mid105,roll-8,opening_normal_tangent,arm_sim_cap_scale,0.2,90.9132570360346,OPTIMAL,
